person_id;studycode;choice;purpose;av_bf;av_v;av_cp;av_cs;av_pt;c_cp;c_cs;c_pt;tt_bf;tt_v;tt_cp;tt_cs;tt_pt;acc_cp;acc_cs;acc_pt;r_cp;s_pt;tr_pt;cost;time;acc;risk;trns;freq;distance;count
001P;wave2;3;2;0;0;1;1;1;2;11.6;3.2;-97;-97;34;31;31;8;4;10;5;15;1;0;0;1;0;0;0;13.60675;8
001P;wave2;5;2;0;0;1;1;1;2.8;8.4;4.4;-97;-97;27;31;31;4;8;15;5;10;0;0;0;1;0;0;0;13.60675;8
001P;wave2;5;2;0;0;1;1;1;3.5;14.7;3.2;-97;-97;27;19;31;8;4;12;10;10;0;0;0;1;0;0;0;13.60675;8
001P;wave2;4;2;0;0;1;1;1;2.8;8.4;4.4;-97;-97;27;31;25;4;4;10;20;10;2;0;0;1;0;0;0;13.60675;8
001P;wave2;3;2;0;0;1;1;1;2;8.4;3.2;-97;-97;27;31;19;8;8;12;5;20;1;0;0;1;0;0;0;13.60675;8
001P;wave2;4;2;0;0;1;1;1;2;8.4;3.2;-97;-97;20;25;31;6;4;15;20;20;2;0;0;1;0;0;0;13.60675;8
001P;wave2;3;2;0;0;1;1;1;3.5;14.7;5.6;-97;-97;27;19;31;6;8;10;5;20;2;0;0;1;0;0;0;13.60675;8
001P;wave2;5;2;0;0;1;1;1;3.5;11.6;3.2;-97;-97;20;19;19;4;8;15;10;15;2;0;0;1;0;0;0;13.60675;8
002P;wave2;3;2;0;1;1;1;1;2;12.9;6.4;-97;59;17;21;25;8;6;11;5;10;1;0;0;1;1;1;1;13.28245;8
002P;wave2;3;2;0;1;1;1;1;2.8;10.1;8.8;-97;59;17;21;19;6;4;9;5;20;1;0;0;1;1;1;1;13.28245;8
002P;wave2;3;2;0;1;1;1;1;2;10.1;8.8;-97;59;17;21;19;6;6;11;10;15;1;0;0;1;1;1;1;13.28245;8
002P;wave2;3;2;0;1;1;1;1;3.5;10.1;6.4;-97;59;28;26;31;6;6;11;10;20;0;0;0;1;1;1;1;13.28245;8
002P;wave2;3;2;0;1;1;1;1;2.8;10.1;11.2;-97;59;28;26;31;8;6;11;20;10;2;0;0;1;1;1;1;13.28245;8
002P;wave2;3;2;0;1;1;1;1;2.8;7.3;6.4;-97;59;23;16;31;8;8;7;20;20;1;0;0;1;1;1;1;13.28245;8
002P;wave2;3;2;0;1;1;1;1;2.8;7.3;6.4;-97;59;28;21;31;4;6;9;5;10;2;0;0;1;1;1;1;13.28245;8
002P;wave2;3;2;0;1;1;1;1;3.5;7.3;6.4;-97;59;17;21;25;8;6;7;10;15;2;0;0;1;1;1;1;13.28245;8
003P;pretest;4;3;0;0;1;1;1;5;18.4;3.8;-97;-97;28;26;35;5;6;5;10;10;2;0;0;0;0;1;0;20.012;8
003P;pretest;4;3;0;0;1;1;1;4;18.4;3.8;-97;-97;35;26;31;5;5;5;5;16;0;0;0;0;0;1;0;20.012;8
003P;pretest;5;3;0;0;1;1;1;2.9;18.4;5.3;-97;-97;40;37;35;7;6;5;5;16;1;0;0;0;0;1;0;20.012;8
003P;pretest;4;3;0;0;1;1;1;2.9;18.4;5.3;-97;-97;28;26;26;10;5;6;20;13;2;0;0;0;0;1;0;20.012;8
003P;pretest;4;3;0;0;1;1;1;2.9;10.5;6.7;-97;-97;40;37;26;7;6;4;5;13;0;0;0;0;0;1;0;20.012;8
003P;pretest;4;3;0;0;1;1;1;4;14.5;3.8;-97;-97;28;26;31;10;9;4;20;13;1;0;0;0;0;1;0;20.012;8
003P;pretest;5;3;0;0;1;1;1;4;14.5;6.7;-97;-97;40;32;26;7;9;6;10;10;0;0;0;0;0;1;0;20.012;8
003P;pretest;4;3;0;0;1;1;1;5;10.5;6.7;-97;-97;35;37;31;5;5;4;20;13;1;0;0;0;0;1;0;20.012;8
004P;pretest;2;2;0;1;1;1;1;2.8;5.7;3.6;-97;12;10;9;6;3;3;2;5;8;1;0;0;0;0;0;0;2.782;8
004P;pretest;2;2;0;1;1;1;1;2.8;7.2;2.9;-97;12;12;11;9;3;3;2;20;8;0;0;0;0;0;0;0;2.782;8
004P;pretest;5;2;0;1;1;1;1;3.5;7.2;2.1;-97;12;12;9;9;3;3;3;10;7;0;0;0;0;0;0;0;2.782;8
004P;pretest;5;2;0;1;1;1;1;3.5;5.7;2.1;-97;12;8;9;9;3;3;3;10;7;0;0;0;0;0;0;0;2.782;8
004P;pretest;2;2;0;1;1;1;1;2;7.2;3.6;-97;12;10;8;6;3;3;3;10;7;0;0;0;0;0;0;0;2.782;8
004P;pretest;2;2;0;1;1;1;1;2;4.1;2.9;-97;12;12;11;6;3;3;3;10;5;1;0;0;0;0;0;0;2.782;8
004P;pretest;2;2;0;1;1;1;1;3.5;4.1;2.1;-97;12;8;8;6;3;3;3;5;8;1;0;0;0;0;0;0;2.782;8
004P;pretest;2;2;0;1;1;1;1;2;7.2;3.6;-97;12;12;11;9;3;3;3;20;7;1;0;0;0;0;0;0;2.782;8
005P;pretest;5;3;0;1;1;1;1;2;12.7;2.9;-97;33;22;20;18;6;3;11;5;4;0;0;0;0;0;0;0;7.726;8
005P;pretest;5;3;0;1;1;1;1;2.8;7.2;2.9;-97;33;18;16;15;6;6;13;20;6;1;0;0;0;0;0;0;7.726;8
005P;pretest;5;3;0;1;1;1;1;2.8;12.7;2.1;-97;33;22;20;21;4;6;9;5;4;2;0;0;0;0;0;0;7.726;8
005P;pretest;5;3;0;1;1;1;1;2.8;10;2.1;-97;33;22;20;21;3;4;13;20;4;1;0;0;0;0;0;0;7.726;8
005P;pretest;5;3;0;1;1;1;1;3.5;10;3.6;-97;33;22;20;18;3;3;9;10;4;2;0;0;0;0;0;0;7.726;8
005P;pretest;4;3;0;1;1;1;1;2;7.2;3.6;-97;33;22;16;15;3;4;11;20;6;0;0;0;0;0;0;0;7.726;8
005P;pretest;4;3;0;1;1;1;1;3.5;7.2;3.6;-97;33;22;23;18;6;4;13;5;4;0;0;0;0;0;0;0;7.726;8
005P;pretest;5;3;0;1;1;1;1;2.8;10;2.1;-97;33;25;20;21;4;3;9;10;6;1;0;0;0;0;0;0;7.726;8
006P;wave3;3;2;0;1;1;0;1;2.8;-97;3.5;-97;29;7;-97;36;6;-97;7;5;10;1;0;0;0;1;0;0;4.776204;8
006P;wave3;2;2;0;1;1;0;1;3.5;-97;4.5;-97;29;7;-97;28;4;-97;11;5;15;3;0;0;0;1;0;0;4.776204;8
006P;wave3;2;2;0;1;1;0;1;2.8;-97;4.5;-97;29;12;-97;36;6;-97;11;20;10;3;0;0;0;1;0;0;4.776204;8
006P;wave3;2;2;0;1;1;0;1;2;-97;3.5;-97;29;10;-97;36;8;-97;9;10;10;2;0;0;0;1;0;0;4.776204;8
006P;wave3;2;2;0;1;1;0;1;2.8;-97;4.5;-97;29;12;-97;21;4;-97;7;10;20;2;0;0;0;1;0;0;4.776204;8
006P;wave3;2;2;0;1;1;0;1;2.8;-97;3.5;-97;29;10;-97;21;4;-97;11;5;20;1;0;0;0;1;0;0;4.776204;8
006P;wave3;3;2;0;1;1;0;1;2.8;-97;2.6;-97;29;7;-97;21;8;-97;9;10;20;3;0;0;0;1;0;0;4.776204;8
006P;wave3;2;2;0;1;1;0;1;3.5;-97;2.6;-97;29;10;-97;28;8;-97;9;10;10;1;0;0;0;1;0;0;4.776204;8
007P;wave3;5;1;0;1;1;1;1;2.8;11.5;2.6;-97;63;20;19;16;8;8;14;20;20;0;0;0;1;0;0;1;11.81453;8
007P;wave3;5;1;0;1;1;1;1;2.8;11.5;4.5;-97;63;27;19;16;4;8;12;5;20;2;0;0;1;0;0;1;11.81453;8
007P;wave3;4;1;0;1;1;1;1;3.5;8.3;4.5;-97;63;33;25;26;8;4;14;10;40;1;0;0;1;0;0;1;11.81453;8
007P;wave3;3;1;0;1;1;1;1;2.8;11.5;4.5;-97;63;20;19;26;6;8;12;10;40;1;0;0;1;0;0;1;11.81453;8
007P;wave3;5;1;0;1;1;1;1;2;8.3;2.6;-97;63;27;31;21;6;4;14;5;30;2;0;0;1;0;0;1;11.81453;8
007P;wave3;5;1;0;1;1;1;1;2.8;8.3;3.5;-97;63;27;31;26;8;4;9;10;20;0;0;0;1;0;0;1;11.81453;8
007P;wave3;3;1;0;1;1;1;1;3.5;14.6;3.5;-97;63;20;19;26;4;6;9;10;40;0;0;0;1;0;0;1;11.81453;8
007P;wave3;2;1;0;1;1;1;1;2;14.6;3.5;-97;63;33;31;26;4;6;14;20;20;2;0;0;1;0;0;1;11.81453;8
008P;wave1;4;3;0;1;1;1;1;2.8;6.7;3.4;-97;29;15;14;16;6;4;15;20;3;3;1;0;0;0;0;0;3.461873;8
008P;wave1;3;3;0;1;1;1;1;2;8.5;1.9;-97;29;10;12;13;6;4;15;5;3;2;1;0;0;0;0;0;3.461873;8
008P;wave1;4;3;0;1;1;1;1;3.5;6.7;1.9;-97;29;15;14;16;4;4;15;10;10;1;1;0;0;0;0;0;3.461873;8
008P;wave1;4;3;0;1;1;1;1;2.8;6.7;2.6;-97;29;10;12;11;4;3;12;5;10;2;1;0;0;0;0;0;3.461873;8
008P;wave1;4;3;0;1;1;1;1;2.8;4.9;1.9;-97;29;13;10;16;6;6;10;20;10;2;1;0;0;0;0;0;3.461873;8
008P;wave1;4;3;0;1;1;1;1;2.8;4.9;1.9;-97;29;15;12;16;3;4;12;5;3;3;1;0;0;0;0;0;3.461873;8
008P;wave1;4;3;0;1;1;1;1;3.5;4.9;1.9;-97;29;10;12;13;6;4;10;10;6;3;1;0;0;0;0;0;3.461873;8
008P;wave1;3;3;0;1;1;1;1;2;6.7;2.6;-97;29;10;12;11;4;4;15;10;6;2;1;0;0;0;0;0;3.461873;8
009P;wave1;4;1;0;1;1;1;1;3.5;14.8;7;-97;47;21;20;22;3;3;17;20;6;1;0;0;0;0;1;0;7.103776;8
009P;wave1;4;1;0;1;1;1;1;2.8;14.8;5.5;-97;47;30;25;26;4;4;11;20;10;1;0;0;0;0;1;0;7.103776;8
009P;wave1;4;1;0;1;1;1;1;2.8;11.6;7;-97;47;26;25;22;3;3;14;5;10;1;0;0;0;0;1;0;7.103776;8
009P;wave1;4;1;0;1;1;1;1;2;11.6;5.5;-97;47;26;20;22;4;3;11;20;3;2;0;0;0;0;1;0;7.103776;8
009P;wave1;5;1;0;1;1;1;1;2;14.8;7;-97;47;26;28;18;3;6;14;20;6;3;0;0;0;0;1;0;7.103776;8
009P;wave1;5;1;0;1;1;1;1;2.8;11.6;7;-97;47;21;20;18;6;6;11;10;3;1;0;0;0;0;1;0;7.103776;8
009P;wave1;4;1;0;1;1;1;1;3.5;8.4;7;-97;47;30;25;22;4;4;14;10;6;2;0;0;0;0;1;0;7.103776;8
009P;wave1;4;1;0;1;1;1;1;2;8.4;4;-97;47;30;25;22;3;6;14;10;6;1;0;0;0;0;1;0;7.103776;8
010P;wave2;5;3;0;0;1;1;1;5.8;13.6;7.8;-97;-97;63;47;35;8;8;16;10;30;2;0;0;0;0;1;0;23.2695;8
010P;wave2;5;3;0;0;1;1;1;4.6;18.7;7.8;-97;-97;38;35;26;10;10;13;10;20;1;0;0;0;0;1;0;23.2695;8
010P;wave2;3;3;0;0;1;1;1;4.6;18.7;7.8;-97;-97;50;47;35;5;5;16;5;40;1;0;0;0;0;1;0;23.2695;8
010P;wave2;5;3;0;0;1;1;1;5.8;23.8;7.8;-97;-97;38;35;35;5;5;19;20;30;1;0;0;0;0;1;0;23.2695;8
010P;wave2;5;3;0;0;1;1;1;3.3;23.8;7.8;-97;-97;50;59;26;5;10;16;20;30;3;0;0;0;0;1;0;23.2695;8
010P;wave2;5;3;0;0;1;1;1;3.3;18.7;6.2;-97;-97;50;35;35;8;5;13;20;20;2;0;0;0;0;1;0;23.2695;8
010P;wave2;5;3;0;0;1;1;1;4.6;23.8;6.2;-97;-97;63;47;43;8;8;13;20;40;1;0;0;0;0;1;0;23.2695;8
010P;wave2;5;3;0;0;1;1;1;3.3;13.6;4.5;-97;-97;63;47;35;5;10;16;10;30;1;0;0;0;0;1;0;23.2695;8
011P;wave2;5;3;0;0;1;1;1;5.8;23.8;8.8;-97;-97;50;35;43;10;5;16;10;20;1;0;0;0;0;1;1;23.2695;8
011P;wave2;3;3;0;0;1;1;1;5.8;18.7;8.8;-97;-97;38;35;26;5;10;19;10;30;3;0;0;0;0;1;1;23.2695;8
011P;wave2;3;3;0;0;1;1;1;4.6;13.6;12.1;-97;-97;50;59;43;5;10;19;5;20;1;0;0;0;0;1;1;23.2695;8
011P;wave2;5;3;0;0;1;1;1;3.3;13.6;8.8;-97;-97;50;59;26;10;10;16;5;40;2;0;0;0;0;1;1;23.2695;8
011P;wave2;3;3;0;0;1;1;1;3.3;13.6;8.8;-97;-97;38;47;43;8;5;19;20;40;3;0;0;0;0;1;1;23.2695;8
011P;wave2;3;3;0;0;1;1;1;3.3;18.7;8.8;-97;-97;63;59;43;10;5;13;5;30;2;0;0;0;0;1;1;23.2695;8
011P;wave2;3;3;0;0;1;1;1;5.8;23.8;15.4;-97;-97;50;35;43;8;10;13;5;40;3;0;0;0;0;1;1;23.2695;8
011P;wave2;3;3;0;0;1;1;1;4.6;13.6;12.1;-97;-97;50;59;35;5;5;13;20;20;3;0;0;0;0;1;1;23.2695;8
012P;wave2;5;3;0;0;1;1;1;8.5;21.3;12.9;-97;-97;44;31;62;7;9;14;5;20;2;0;0;0;0;0;0;35.41977;8
012P;wave2;5;3;0;0;1;1;1;8.5;21.3;7.4;-97;-97;44;31;62;9;4;18;10;10;0;0;0;0;0;0;0;35.41977;8
012P;wave2;5;3;0;0;1;1;1;4.9;12.1;7.4;-97;-97;44;52;37;9;9;18;5;20;1;0;0;0;0;0;0;35.41977;8
012P;wave2;5;3;0;0;1;1;1;8.5;16.7;7.4;-97;-97;33;31;37;4;9;22;10;15;2;0;0;0;0;0;0;35.41977;8
012P;wave2;5;3;0;0;1;1;1;6.7;12.1;10.1;-97;-97;44;52;62;4;9;22;5;10;0;0;0;0;0;0;0;35.41977;8
012P;wave2;5;3;0;0;1;1;1;4.9;16.7;7.4;-97;-97;55;52;62;9;4;14;5;15;1;0;0;0;0;0;0;35.41977;8
012P;wave2;5;3;0;0;1;1;1;6.7;12.1;10.1;-97;-97;44;52;50;4;4;14;20;10;2;0;0;0;0;0;0;35.41977;8
012P;wave2;5;3;0;0;1;1;1;4.9;12.1;7.4;-97;-97;33;41;62;7;4;22;20;20;2;0;0;0;0;0;0;35.41977;8
013P;wave2;3;1;0;1;1;1;1;2;9.5;6.6;-97;52;12;15;31;8;6;11;5;10;2;0;0;0;0;0;0;10.62704;8
013P;wave2;4;1;0;1;1;1;1;2.8;5.4;6.6;-97;52;17;12;38;8;8;7;20;20;2;0;0;0;0;0;0;10.62704;8
013P;wave2;4;1;0;1;1;1;1;3.5;7.5;6.6;-97;52;21;19;38;6;6;11;10;20;1;0;0;0;0;0;0;10.62704;8
013P;wave2;4;1;0;1;1;1;1;3.5;5.4;6.6;-97;52;12;15;31;8;6;7;10;15;3;0;0;0;0;0;0;10.62704;8
013P;wave2;4;1;0;1;1;1;1;2.8;7.5;11.5;-97;52;21;19;38;8;6;11;20;10;3;0;0;0;0;0;0;10.62704;8
013P;wave2;3;1;0;1;1;1;1;2.8;7.5;9;-97;52;12;15;23;6;4;9;5;20;2;0;0;0;0;0;0;10.62704;8
013P;wave2;3;1;0;1;1;1;1;2;7.5;9;-97;52;12;15;23;6;6;11;10;15;2;0;0;0;0;0;0;10.62704;8
013P;wave2;4;1;0;1;1;1;1;2.8;5.4;6.6;-97;52;21;15;38;4;6;9;5;10;3;0;0;0;0;0;0;10.62704;8
014P;wave3;5;3;0;0;1;1;1;3.1;13.6;5.3;-97;-97;24;23;55;8;4;17;20;15;2;1;1;1;1;0;0;22.67088;8
014P;wave3;5;3;0;0;1;1;1;4.2;13.6;7.3;-97;-97;41;38;44;6;4;14;5;15;3;1;1;1;1;0;0;22.67088;8
014P;wave3;5;3;0;0;1;1;1;3.1;17.3;9.2;-97;-97;33;31;33;6;6;21;5;15;1;1;1;1;1;0;0;22.67088;8
014P;wave3;5;3;0;0;1;1;1;3.1;9.9;5.3;-97;-97;33;31;33;8;8;14;20;20;3;1;1;1;1;0;0;22.67088;8
014P;wave3;5;3;0;0;1;1;1;4.2;13.6;9.2;-97;-97;24;31;33;4;4;14;20;20;3;1;1;1;1;0;0;22.67088;8
014P;wave3;5;3;0;0;1;1;1;4.2;9.9;9.2;-97;-97;33;38;55;4;8;17;5;20;2;1;1;1;1;0;0;22.67088;8
014P;wave3;5;3;0;0;1;1;1;5.3;13.6;9.2;-97;-97;33;38;44;4;6;14;20;10;1;1;1;1;1;0;0;22.67088;8
014P;wave3;5;3;0;0;1;1;1;3.1;13.6;9.2;-97;-97;41;38;33;8;6;17;5;15;1;1;1;1;1;0;0;22.67088;8
015P;wave1;5;1;0;0;1;1;1;4.9;15.3;4.3;-97;-97;29;28;26;3;7;14;10;15;2;1;0;0;0;0;0;23.42045;8
015P;wave1;5;1;0;0;1;1;1;4.9;19.4;4.3;-97;-97;36;28;37;7;3;11;10;10;0;1;0;0;0;0;0;23.42045;8
015P;wave1;3;1;0;0;1;1;1;4.9;19.4;7.6;-97;-97;36;28;37;5;7;9;5;20;2;1;0;0;0;0;0;23.42045;8
015P;wave1;3;1;0;0;1;1;1;2.8;11.1;4.3;-97;-97;29;34;37;5;3;14;20;20;2;1;0;0;0;0;0;23.42045;8
015P;wave1;3;1;0;0;1;1;1;3.8;11.1;5.9;-97;-97;36;39;37;3;7;14;5;10;0;1;0;0;0;0;0;23.42045;8
015P;wave1;5;1;0;0;1;1;1;2.8;11.1;4.3;-97;-97;36;39;26;7;7;11;5;20;1;1;0;0;0;0;0;23.42045;8
015P;wave1;5;1;0;0;1;1;1;3.8;11.1;5.9;-97;-97;36;39;30;3;3;9;20;10;2;1;0;0;0;0;0;23.42045;8
015P;wave1;5;1;0;0;1;1;1;2.8;15.3;4.3;-97;-97;42;39;37;7;3;9;5;15;1;1;0;0;0;0;0;23.42045;8
016P;wave1;5;3;0;1;1;1;1;3.5;9.7;2.4;-97;54;15;11;21;6;3;11;10;3;0;1;1;1;0;0;0;11.40962;8
016P;wave1;5;3;0;1;1;1;1;3.5;7.6;2.4;-97;54;12;11;14;3;6;13;10;6;2;1;1;1;0;0;0;11.40962;8
016P;wave1;5;3;0;1;1;1;1;2;7.6;2.4;-97;54;17;16;21;6;3;8;5;6;1;1;1;1;0;0;0;11.40962;8
016P;wave1;5;3;0;1;1;1;1;2.8;5.5;3.3;-97;54;15;16;17;3;3;8;20;3;2;1;1;1;0;0;0;11.40962;8
016P;wave1;5;3;0;1;1;1;1;2.8;5.5;3.3;-97;54;15;16;21;3;6;13;5;3;0;1;1;1;0;0;0;11.40962;8
016P;wave1;5;3;0;1;1;1;1;2;5.5;2.4;-97;54;15;16;14;6;6;11;5;10;1;1;1;1;0;0;0;11.40962;8
016P;wave1;5;3;0;1;1;1;1;3.5;9.7;4.2;-97;54;15;11;21;4;6;8;5;10;2;1;1;1;0;0;0;11.40962;8
016P;wave1;5;3;0;1;1;1;1;2;5.5;2.4;-97;54;12;14;21;4;3;13;20;10;2;1;1;1;0;0;0;11.40962;8
017P;wave1;5;1;0;0;1;1;1;2.8;10.5;5.6;-97;-97;23;22;22;3;3;7;5;20;0;1;1;1;0;0;0;17.60305;8
017P;wave1;5;1;0;0;1;1;1;2.8;10.5;5.6;-97;-97;19;18;18;6;6;5;10;10;0;1;1;1;0;0;0;17.60305;8
017P;wave1;5;1;0;0;1;1;1;2;10.5;4.4;-97;-97;23;18;22;4;3;5;20;10;1;1;1;1;0;0;0;17.60305;8
017P;wave1;4;1;0;0;1;1;1;3.5;13.3;5.6;-97;-97;19;18;22;3;3;8;20;15;0;1;1;1;0;0;0;17.60305;8
017P;wave1;5;1;0;0;1;1;1;2;13.3;5.6;-97;-97;23;25;18;3;6;7;20;15;2;1;1;1;0;0;0;17.60305;8
017P;wave1;5;1;0;0;1;1;1;3.5;7.6;5.6;-97;-97;26;22;22;4;4;7;10;15;1;1;1;1;0;0;0;17.60305;8
017P;wave1;5;1;0;0;1;1;1;2.8;13.3;4.4;-97;-97;26;22;27;4;4;5;20;20;0;1;1;1;0;0;0;17.60305;8
017P;wave1;5;1;0;0;1;1;1;2;7.6;3.2;-97;-97;26;22;22;3;6;7;10;15;0;1;1;1;0;0;0;17.60305;8
018P;wave3;3;3;0;0;1;1;1;5.7;15.3;13.4;-97;-97;28;26;104;6;8;22;10;20;3;0;0;1;0;0;1;35.97735;8
018P;wave3;3;3;0;0;1;1;1;5.7;15.3;13.4;-97;-97;37;26;62;4;8;22;5;10;4;0;0;1;0;0;1;35.97735;8
018P;wave3;4;3;0;0;1;1;1;5.7;11.1;10.6;-97;-97;37;44;104;8;4;17;10;10;2;0;0;1;0;0;1;35.97735;8
018P;wave3;4;3;0;0;1;1;1;7.2;11.1;13.4;-97;-97;47;35;104;8;4;26;10;20;3;0;0;1;0;0;1;35.97735;8
018P;wave3;5;3;0;0;1;1;1;4.1;19.4;10.6;-97;-97;47;44;104;4;6;26;20;10;4;0;0;1;0;0;1;35.97735;8
018P;wave3;5;3;0;0;1;1;1;5.7;15.3;7.7;-97;-97;28;26;62;8;8;26;20;10;2;0;0;1;0;0;1;35.97735;8
018P;wave3;3;3;0;0;1;1;1;7.2;19.4;10.6;-97;-97;28;26;104;4;6;17;10;20;2;0;0;1;0;0;1;35.97735;8
018P;wave3;4;3;0;0;1;1;1;4.1;11.1;7.7;-97;-97;37;44;83;6;4;26;5;15;4;0;0;1;0;0;1;35.97735;8
019P;wave3;5;1;0;1;1;1;1;3.5;10.6;2.6;-97;27;13;16;28;8;6;8;5;3;1;0;0;0;0;1;1;3.606161;8
019P;wave3;5;1;0;1;1;1;1;2;10.6;3.4;-97;27;13;12;22;8;6;8;10;6;0;0;0;0;0;1;1;3.606161;8
019P;wave3;5;1;0;1;1;1;1;3.5;10.6;3.4;-97;27;18;12;28;6;4;11;20;3;1;0;0;0;0;1;1;3.606161;8
019P;wave3;5;1;0;1;1;1;1;2;6;1.9;-97;27;22;16;22;4;8;9;20;6;0;0;0;0;0;1;1;3.606161;8
019P;wave3;5;1;0;1;1;1;1;3.5;10.6;1.9;-97;27;22;21;28;6;8;9;10;10;0;0;0;0;0;1;1;3.606161;8
019P;wave3;5;1;0;1;1;1;1;3.5;8.3;2.6;-97;27;13;12;16;6;6;11;5;10;0;0;0;0;0;1;1;3.606161;8
019P;wave3;5;1;0;1;1;1;1;2;8.3;2.6;-97;27;13;16;22;4;4;11;10;6;0;0;0;0;0;1;1;3.606161;8
019P;wave3;5;1;0;1;1;1;1;3.5;6;2.6;-97;27;22;21;28;6;8;9;10;3;0;0;0;0;0;1;1;3.606161;8
020P;wave3;5;1;1;0;1;1;1;3.5;5.5;2.6;38;-97;7;7;4;6;6;9;5;10;1;0;0;0;0;1;1;2.149326;8
020P;wave3;5;1;1;0;1;1;1;2;7;3.4;38;-97;7;7;6;8;6;6;10;6;1;0;0;0;0;1;1;2.149326;8
020P;wave3;5;1;1;0;1;1;1;3.5;7;3.4;38;-97;10;7;7;6;4;9;20;3;2;0;0;0;0;1;1;2.149326;8
020P;wave3;5;1;1;0;1;1;1;3.5;4;2.6;38;-97;12;11;7;6;8;7;10;3;1;0;0;0;0;1;1;2.149326;8
020P;wave3;5;1;1;0;1;1;1;3.5;7;1.9;38;-97;12;11;7;6;8;7;10;10;1;0;0;0;0;1;1;2.149326;8
020P;wave3;5;1;1;0;1;1;1;2;4;1.9;38;-97;12;9;6;4;8;7;20;6;0;0;0;0;0;1;1;2.149326;8
020P;wave3;5;1;1;0;1;1;1;3.5;7;2.6;38;-97;7;9;7;8;6;6;5;3;2;0;0;0;0;1;1;2.149326;8
020P;wave3;5;1;1;0;1;1;1;2;5.5;2.6;38;-97;7;9;6;4;4;9;10;6;0;0;0;0;0;1;1;2.149326;8
021P;wave3;5;1;0;1;1;1;1;3.5;15;4.5;-97;70;28;19;19;6;4;15;20;10;2;0;0;0;0;0;1;11.19976;8
021P;wave3;5;1;0;1;1;1;1;2;8.6;2.6;-97;70;34;26;15;4;8;12;20;15;0;0;0;0;0;0;1;11.19976;8
021P;wave3;5;1;0;1;1;1;1;3.5;15;2.6;-97;70;34;32;19;6;8;12;10;20;1;0;0;0;0;0;1;11.19976;8
021P;wave3;5;1;0;1;1;1;1;2;11.8;3.5;-97;70;21;26;15;4;4;15;10;15;0;0;0;0;0;0;1;11.19976;8
021P;wave3;5;1;0;1;1;1;1;3.5;11.8;3.5;-97;70;21;19;11;6;6;15;5;20;1;0;0;0;0;0;1;11.19976;8
021P;wave3;5;1;0;1;1;1;1;2;15;4.5;-97;70;21;19;15;8;6;10;10;15;1;0;0;0;0;0;1;11.19976;8
021P;wave3;5;1;0;1;1;1;1;3.5;8.6;3.5;-97;70;34;32;19;6;8;12;10;10;1;0;0;0;0;0;1;11.19976;8
021P;wave3;5;1;0;1;1;1;1;3.5;15;3.5;-97;70;21;26;19;8;6;10;5;10;2;0;0;0;0;0;1;11.19976;8
022P;pretest;5;3;0;1;1;1;1;3.5;9.3;3.6;-97;55;30;31;27;4;4;9;20;12;1;0;1;0;0;1;1;11.185;8
022P;pretest;5;3;0;1;1;1;1;2.8;16.2;2.1;-97;55;30;22;27;4;4;12;5;15;0;0;1;0;0;1;1;11.185;8
022P;pretest;5;3;0;1;1;1;1;2;16.2;2.9;-97;55;34;31;31;6;5;12;5;15;1;0;1;0;0;1;1;11.185;8
022P;pretest;5;3;0;1;1;1;1;2;16.2;2.9;-97;55;24;22;22;9;4;15;20;12;2;0;1;0;0;1;1;11.185;8
022P;pretest;5;3;0;1;1;1;1;3.5;16.2;2.1;-97;55;24;22;31;4;5;12;10;10;2;0;1;0;0;1;1;11.185;8
022P;pretest;5;3;0;1;1;1;1;2;9.3;3.6;-97;55;34;31;22;6;5;9;5;12;0;0;1;0;0;1;1;11.185;8
022P;pretest;5;3;0;1;1;1;1;2.8;12.7;2.1;-97;55;24;22;27;9;8;9;20;12;1;0;1;0;0;1;1;11.185;8
022P;pretest;5;3;0;1;1;1;1;2.8;12.7;3.6;-97;55;34;27;22;6;8;15;10;10;0;0;1;0;0;1;1;11.185;8
023P;wave1;5;2;0;1;1;1;1;2.8;9.3;3.4;-97;26;23;21;21;6;4;13;20;3;1;0;1;0;0;0;0;4.650033;8
023P;wave1;5;2;0;1;1;1;1;2.8;9.3;2.6;-97;26;16;19;14;4;3;11;5;10;0;0;1;0;0;0;0;4.650033;8
023P;wave1;5;2;0;1;1;1;1;2;9.3;2.6;-97;26;16;19;14;4;4;13;10;6;0;0;1;0;0;0;0;4.650033;8
023P;wave1;5;2;0;1;1;1;1;2.8;6.8;1.9;-97;26;23;19;21;3;4;11;5;3;1;0;1;0;0;0;0;4.650033;8
023P;wave1;5;2;0;1;1;1;1;3.5;9.3;1.9;-97;26;23;21;21;4;4;13;10;10;0;0;1;0;0;0;0;4.650033;8
023P;wave1;5;2;0;1;1;1;1;3.5;6.8;1.9;-97;26;16;19;17;6;4;8;10;6;1;0;1;0;0;0;0;4.650033;8
023P;wave1;5;2;0;1;1;1;1;2;11.9;1.9;-97;26;16;19;17;6;4;13;5;3;0;0;1;0;0;0;0;4.650033;8
023P;wave1;5;2;0;1;1;1;1;2.8;6.8;1.9;-97;26;20;15;21;6;6;8;20;10;0;0;1;0;0;0;0;4.650033;8
024P;pretest;5;3;0;1;1;1;1;3.5;7.3;2.1;-97;14;12;9;11;3;3;13;10;3;0;0;0;0;1;1;0;3.33;8
024P;pretest;5;3;0;1;1;1;1;2.8;7.3;2.9;-97;14;12;11;11;3;3;10;20;4;0;0;0;0;1;1;0;3.33;8
